,precision,recall,f1-score,support
angry,0.5667144906743186,0.5309139784946236,0.5482303955586398,744.0
disgust,0.4014084507042254,0.6867469879518072,0.5066666666666667,83.0
fear,0.5146299483648882,0.38881664499349805,0.44296296296296295,769.0
happy,0.8724569640062598,0.8265381764269829,0.8488770460601447,1349.0
sad,0.5494830132939439,0.40744797371303393,0.4679245283018868,913.0
surprise,0.6790299572039943,0.7920133111480865,0.7311827956989247,601.0
neutral,0.5045662100456622,0.7121374865735768,0.5906458797327394,931.0
accuracy,0.6265306122448979,0.6265306122448979,0.6265306122448979,0.6265306122448979
macro avg,0.5840412906133274,0.6206592227573727,0.5909271821402807,5390.0
weighted avg,0.6321286631125547,0.6265306122448979,0.6219401984913676,5390.0
